Gender,Age,Religion,Attachment_religion,Living_arrangement,Living_with,Reason_for_living,Marital_status,Undergraduate_MSP,Financial_income,How_frequent,Source_of_income,Transactional_sex,Friends_engagement_in_MSP,MSP_in_school,Had_sexual_intercourse,Age_at_sexual_debut,Who_was_the_person,How_many_partners,age_group,agecat_of_sexual_intercourse,msp_kpi
Male,21,Islamic,Frequently attends (more than twice in a month),Off-campus,Parent/relatives.,I'm staying with my parent,Single,Yes,Greater-than #5000,Unstable,Labor,No,Many,No,Yes,19,Boyfriend/Girlfriend,One,22-26,Early,No
Female,21,Islamic,Occasionally attends (less than or equal to twice in month),Campus,Friends/Roommates,Campus life,Single,No,Greater-than #5000,Unstable,Parent/relatives.,Yes,Many,Yes,Yes,16,Boyfriend/Girlfriend,One,22-26,Early,No
Female,21,Islamic,Occasionally attends (less than or equal to twice in month),Campus,Friends/Roommates,Campus lifestyle,Single,No,Greater-than #5000,Unstable,Parent/relatives.,Yes,Many,Yes,Yes,16,Boyfriend/Girlfriend,One,22-26,Early,No
Female,18,Christianity,Frequently attends (more than twice in a month),Off-campus,Cohabiting,I love him so we decide to stay together,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Many,Yes,Yes,18,Boyfriend/Girlfriend,One,17-21,Early,No
Female,20,Christianity,Frequently attends (more than twice in a month),Off-campus,Parent/relatives.,Living with mummy & daddy,Single,No,Less-than #5000,Unstable,Labor,Yes,Many,No,Yes,16,Boyfriend/Girlfriend,More than,22-26,Early,Yes
Male,27,Traditiona,Occasionally attends (less than or equal to twice in month),Off-campus,Cohabiting,My decision,Single,No,Greater-than #5000,Stable,Parent/relatives.,Yes,Many,No,Yes,17,Boyfriend/Girlfriend,More than,27and above,Early,Yes
Male,20,Islamic,Frequently attends (more than twice in a month),Campus,Friends/Roommates,I have compulsory roommates as a hostel person,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,Many,Yes,No,,,,22-26,,No
Female,23,Christianity,Frequently attends (more than twice in a month),Off-campus,Parent/relatives.,Nil,Single,No,Less-than #5000,Unstable,Labor,No,Few,Yes,No,,,,22-26,,No
Male,19,Islamic,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,Nil,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Many,Yes,Yes,18,Boyfriend/Girlfriend,One,17-21,Early,No
Female,17,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Parent/relatives.,My mummy want me to live with them,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,Many,No,No,,,,17-21,,No
Female,25,Islamic,Frequently attends (more than twice in a month),Off-campus,Spouse,He's my husband,Married,No,Greater-than #5000,Stable,Labor,No,Few,Yes,Yes,24,Spouse,One,27and above,Late,No
Female,17,Islamic,Frequently attends (more than twice in a month),Campus,Friends/Roommates,Nil,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Many,Yes,No,,,,17-21,,No
Male,33,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,Nothing,Single,No,Greater-than #5000,Stable,Labor,No,Many,Yes,No,,,,27and above,,No
Male,24,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,Nil,Single,No,Greater-than #5000,Stable,Labor,No,Few,No,Yes,20,Boyfriend/Girlfriend,More than,22-26,Late,Yes
Male,26,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,I love privacy,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Few,No,Yes,17,Boyfriend/Girlfriend,More than,27and above,Early,Yes
Male,27,Islamic,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,I don't want roommate,Single,No,Greater-than #5000,Unstable,Labor,No,Few,Yes,No,,,,27and above,,No
Female,26,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,I just want to,Single,No,Greater-than #5000,Unstable,Parent/relatives.,No,None,Yes,No,,,,27and above,,No
Female,17,Christianity,Frequently attends (more than twice in a month),Off-campus,Parent/relatives.,They are y relatives,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,None,Yes,No,,,,17-21,,No
Female,20,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,Not enough money to live alone,Single,No,Greater-than #5000,Unstable,Parent/relatives.,No,Few,Yes,No,,,,22-26,,No
Female,22,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,I can't just live alone,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,Few,Yes,Yes,18,Boyfriend/Girlfriend,One,22-26,Early,No
Male,26,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,I love my privacy,Single,No,Less-than #5000,Unstable,Labor,No,Few,Yes,No,,,,27and above,,No
Male,28,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Friends/Roommates,No money to live alone,Single,No,Greater-than #5000,Stable,Labor,No,Few,Yes,Yes,22,Boyfriend/Girlfriend,One,27and above,Late,No
Male,21,Islamic,Occasionally attends (less than or equal to twice in month),Campus,Parent/relatives.,Nil,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Few,No,No,,,,22-26,,No
Male,21,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,Because of privacy and convinience,Single,Yes,Greater-than #5000,Stable,Labor,No,None,No,Yes,15,Boyfriend/Girlfriend,More than,22-26,Early,Yes
Male,23,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,Nothing,Single,No,Greater-than #5000,Stable,Labor,No,None,No,Yes,20,Boyfriend/Girlfriend,One,22-26,Late,No
Male,21,Christianity,Frequently attends (more than twice in a month),Campus,Parent/relatives.,They are my parent,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,None,Yes,No,,,,22-26,,No
Male,18,Christianity,Frequently attends (more than twice in a month),Campus,Friends/Roommates,School hostel roommate,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Few,Yes,No,,,,17-21,,No
Male,22,Christianity,Occasionally attends (less than or equal to twice in month),Campus,Friends/Roommates,They are my roommate,Single,No,Greater-than #5000,Unstable,Labor,No,Few,Yes,No,,,,22-26,,No
Male,24,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,To save the cost of having rent house separately,Single,No,Greater-than #5000,Stable,Labor,No,None,Yes,No,,,,22-26,,No
Male,22,Christianity,Frequently attends (more than twice in a month),Campus,Friends/Roommates,Because we are related,Single,No,Less-than #5000,Unstable,Labor,No,Few,Yes,No,,,,22-26,,No
